user;candidateSkills;candidateName;candidateCity
x0100;"[""kafka"",""EDA""]";Javier;Sevilla
x0101;"[""kafka"",""EDA""]";Jaime;Sevilla
x0102;"[""kafka"",""EDA""]";Jaime;Malaga
x0103;"[""kubernetes"",""linux""]";Pablo;Valencia
x0104;"[""kubernetes"",""linux""]";Cristina;Valencia
x0105;"[""kubernetes"",""linux""]";Cristina;Pontevedra
x0106;"[""kubernetes"",""linux""]";Javier;Madrid
x0107;"[""kubernetes"",""linux""]";Cesar;Madrid
x0108;"[""BBDD"",""PostgreSQL""]";Cesar;Madrid
x0109;"[""BBDD"",""PostgreSQL""]";Monica;Madrid
x0110;"[""BBDD"",""PostgreSQL""]";Ana;Avila
x0111;"[""BBDD"",""Oracle""]";Ana;Avila
x0112;"[""BBDD"",""Oracle""]";Alejandro;Badajoz
x0113;"[""java"",""kogito""]";Alejandro;Zaragoza
x0114;"[""java"",""kogito""]";Miguel;Zaragoza
x0115;"[""kafka"",""EDA""]";Miguel;Sevilla
x0116;"[""kafka"",""EDA""]";Luis;Sevilla
x0117;"[""kafka"",""EDA""]";Pilar;Malaga
x0118;"[""kafka"",""EDA""]";Pilar;Valencia
x0119;"[""kubernetes"",""linux""]";Pilar;Valencia
x0120;"[""kubernetes"",""linux""]";Javier;Pontevedra
x0121;"[""kubernetes"",""linux""]";Jaime;Madrid
x0122;"[""kubernetes"",""linux""]";Jaime;Madrid
x0123;"[""kubernetes"",""linux""]";Pablo;Madrid
x0124;"[""BBDD"",""PostgreSQL""]";Cristina;Madrid
x0125;"[""BBDD"",""PostgreSQL""]";Cristina;Avila
x0126;"[""BBDD"",""PostgreSQL""]";Javier;Avila
x0127;"[""BBDD"",""Oracle""]";Cesar;Badajoz
x0128;"[""BBDD"",""Oracle""]";Cesar;Zaragoza
x0129;"[""java"",""kogito""]";Monica;Zaragoza
x0130;"[""java"",""kogito""]";Ana;Sevilla
x0131;"[""kafka"",""EDA""]";Ana;Sevilla
x0132;"[""kafka"",""EDA""]";Alejandro;Malaga
x0133;"[""kafka"",""EDA""]";Alejandro;Valencia
x0134;"[""kafka"",""EDA""]";Miguel;Valencia
x0135;"[""kubernetes"",""linux""]";Miguel;Pontevedra
x0136;"[""kubernetes"",""linux""]";Luis;Madrid
x0137;"[""kubernetes"",""linux""]";Pilar;Madrid
x0138;"[""kubernetes"",""linux""]";Pilar;Madrid
x0139;"[""kubernetes"",""linux""]";Pilar;Madrid
x0140;"[""BBDD"",""PostgreSQL""]";Javier;Avila
x0141;"[""BBDD"",""PostgreSQL""]";Jaime;Avila
x0142;"[""BBDD"",""PostgreSQL""]";Jaime;Badajoz
x0143;"[""BBDD"",""Oracle""]";Pablo;Zaragoza
x0144;"[""BBDD"",""Oracle""]";Cristina;Zaragoza
x0145;"[""java"",""kogito""]";Cristina;Sevilla
x0146;"[""java"",""kogito""]";Javier;Sevilla
x0147;"[""kafka"",""EDA""]";Cesar;Malaga
x0148;"[""kafka"",""EDA""]";Cesar;Valencia
x0149;"[""kafka"",""EDA""]";Monica;Valencia
x0150;"[""kafka"",""EDA""]";Ana;Pontevedra
x0151;"[""kubernetes"",""linux""]";Ana;Madrid
x0152;"[""kubernetes"",""linux""]";Alejandro;Madrid
x0153;"[""kubernetes"",""linux""]";Alejandro;Madrid
x0154;"[""kubernetes"",""linux""]";Miguel;Madrid
x0155;"[""kubernetes"",""linux""]";Miguel;Avila
x0156;"[""BBDD"",""PostgreSQL""]";Luis;Avila
x0157;"[""BBDD"",""PostgreSQL""]";Pilar;Badajoz
x0158;"[""BBDD"",""PostgreSQL""]";Pilar;Zaragoza
x0159;"[""BBDD"",""Oracle""]";Pilar;Zaragoza
x0160;"[""BBDD"",""Oracle""]";Javier;Sevilla
x0161;"[""java"",""kogito""]";Jaime;Sevilla
x0162;"[""java"",""kogito""]";Jaime;Malaga
x0163;"[""kafka"",""EDA""]";Pablo;Valencia
x0164;"[""kafka"",""EDA""]";Cristina;Valencia
x0165;"[""kafka"",""EDA""]";Cristina;Pontevedra
x0166;"[""kafka"",""EDA""]";Javier;Madrid
x0167;"[""kubernetes"",""linux""]";Cesar;Madrid
x0168;"[""kubernetes"",""linux""]";Cesar;Madrid
x0169;"[""kubernetes"",""linux""]";Monica;Madrid
x0170;"[""kubernetes"",""linux""]";Ana;Avila
x0171;"[""kubernetes"",""linux""]";Ana;Avila
x0172;"[""BBDD"",""PostgreSQL""]";Alejandro;Badajoz
x0173;"[""BBDD"",""PostgreSQL""]";Alejandro;Zaragoza
x0174;"[""BBDD"",""PostgreSQL""]";Miguel;Zaragoza
x0175;"[""BBDD"",""Oracle""]";Miguel;Sevilla
x0176;"[""BBDD"",""Oracle""]";Luis;Sevilla
x0177;"[""java"",""kogito""]";Pilar;Malaga
x0178;"[""java"",""kogito""]";Pilar;Valencia
x0179;"[""kafka"",""EDA""]";Pilar;Valencia
x0180;"[""kafka"",""EDA""]";Javier;Pontevedra
x0181;"[""kafka"",""EDA""]";Jaime;Madrid
x0182;"[""kafka"",""EDA""]";Jaime;Madrid
x0183;"[""kubernetes"",""linux""]";Pablo;Madrid
x0184;"[""kubernetes"",""linux""]";Cristina;Madrid
x0185;"[""kubernetes"",""linux""]";Cristina;Avila
x0186;"[""kubernetes"",""linux""]";Javier;Avila
x0187;"[""kubernetes"",""linux""]";Cesar;Badajoz
x0188;"[""BBDD"",""PostgreSQL""]";Cesar;Zaragoza
x0189;"[""BBDD"",""PostgreSQL""]";Monica;Zaragoza
x0190;"[""BBDD"",""PostgreSQL""]";Ana;Sevilla
x0191;"[""BBDD"",""Oracle""]";Ana;Sevilla
x0192;"[""BBDD"",""Oracle""]";Alejandro;Malaga
x0193;"[""java"",""kogito""]";Alejandro;Valencia
x0194;"[""java"",""kogito""]";Miguel;Valencia
x0195;"[""kafka"",""EDA""]";Miguel;Pontevedra
x0196;"[""kafka"",""EDA""]";Luis;Madrid
x0197;"[""kafka"",""EDA""]";Pilar;Madrid
x0198;"[""kafka"",""EDA""]";Pilar;Madrid
x0199;"[""kubernetes"",""linux""]";Pilar;Madrid
x0200;"[""kubernetes"",""linux""]";Javier;Avila
